Id,LotArea,FullBath,HalfBath,TotRmsAbvGrd,TotalBsmtSF,BedroomAbvGr,GrLivArea,YrSold,SalePrice,Qual,Cond,Age
train_8747,9873,2,0,7,1098,3,1319,2010,158076.061555894,3A,6B,4
train_3310,6993,1,1,6,1496,3,1214,2006,224581.73010304,8B,5B,126
train_5704,7200,1,0,6,756,3,1712,2006,176552.201072425,8B,5B,126
train_8513,9800,2,1,4,941,4,1111,2010,180661.98457019,8B,5B,128
train_6932,13478,1,1,9,1057,3,1721,2009,162695.974736824,8B,5B,117
train_1460,3951,1,1,4,848,2,2035,2008,221228.922660644,8B,5B,108
train_3201,9018,2,0,7,1097,2,1680,2007,197578.377794597,8B,5B,107
train_4098,6897,1,1,7,848,3,1756,2009,174494.268113023,8B,5B,109
train_5548,17600,2,0,6,1392,2,1225,2006,218437.604195673,8B,5B,106
train_7861,12220,2,1,8,672,3,1252,2007,187178.08680337,8B,5B,107
train_8075,9100,1,0,7,1086,3,720,2009,139234.455906449,8B,5B,109
train_9602,9196,3,0,10,992,2,1142,2007,158413.126902962,8B,5B,107
train_2769,8532,2,0,7,980,3,1548,2009,186191.019339974,8B,5B,99
train_2873,7244,2,1,6,970,4,2414,2007,216022.849454917,8B,5B,97
train_2910,12508,2,0,5,689,4,1241,2009,165266.468825635,8B,5B,99
train_3558,9600,2,0,6,1158,3,2353,2009,262953.644725746,8B,5B,99
train_5145,12137,2,1,6,1324,2,848,2008,146843.491163762,8B,5B,98
train_5683,10142,1,0,6,1845,3,1968,2010,226494.358294012,8B,5B,100
train_6126,1680,2,0,5,0,4,1336,2006,157267.730732422,8B,5B,96
train_7329,17104,1,0,7,1822,3,1442,2008,242739.01232909,8B,5B,98
train_7669,12354,2,0,7,530,2,1034,2006,161399.68590734,8B,5B,96
train_7704,11040,2,1,8,988,3,1442,2010,189881.841720196,8B,5B,100
train_7963,2280,1,0,7,1050,4,1610,2007,181616.540434125,8B,5B,97
train_8346,10800,2,0,8,1314,4,1842,2008,200641.739509807,8B,5B,98
train_8545,14585,1,0,8,952,2,1620,2009,210359.817941705,8B,5B,99
train_8567,8730,1,1,5,1088,3,980,2007,120066.801759933,8B,5B,97
train_8990,7844,1,0,5,637,3,858,2006,135262.123077519,8B,5B,96
train_1873,8400,1,0,6,1105,3,1363,2006,172367.66224769,8B,5B,92
train_5952,5500,1,1,11,1092,3,2452,2008,250450.218652396,8B,5B,94
train_8030,8750,2,1,5,1041,3,1501,2008,237113.950290421,8B,5B,94
train_8882,11426,2,1,7,864,3,1368,2009,191590.579897221,8B,5B,95
train_675,7332,2,1,7,0,3,1709,2010,145202.748723322,8B,5B,95
train_857,11200,2,1,7,1719,3,1440,2006,236801.358313843,8B,5B,91
train_3430,11050,1,0,11,716,5,1742,2006,207559.374818345,8B,5B,91
train_4351,12400,2,0,6,1050,3,1728,2007,216839.325735813,8B,5B,92
train_4957,8800,1,1,3,901,3,1728,2008,199970.362280368,8B,5B,93
train_3682,10150,2,1,6,1225,3,1110,2009,208944.283280404,8B,5B,93
train_5163,25419,2,0,5,1626,2,1922,2007,289582.572275927,8B,5B,91
train_2095,11838,2,1,6,1522,3,2062,2008,270857.171623364,8B,5B,90
train_2903,10659,2,0,4,600,3,1080,2008,126572.901702953,8B,5B,90
train_5205,10793,2,0,5,1800,3,2403,2009,310747.905823302,8B,5B,91
train_8183,10264,2,0,6,1656,3,1818,2008,186307.437078011,8B,5B,90
train_6464,4400,1,1,4,915,3,1661,2009,156681.372136941,8B,5B,90
train_8481,14331,1,1,8,1516,3,1500,2008,217205.188924125,8B,5B,89
train_293,50271,2,0,6,1136,4,1165,2009,211071.008079119,8B,5B,89
train_451,10839,2,0,5,768,3,1788,2007,189799.946190312,8B,5B,87
train_2105,13346,2,1,8,1468,3,928,2009,208667.751642146,8B,5B,89
train_2601,9017,1,0,8,700,3,1352,2006,150164.118015769,8B,5B,86
train_4182,9600,1,0,6,1728,2,773,2007,237703.764135328,8B,5B,87
train_4389,7264,2,0,6,960,4,1441,2008,204361.370981829,8B,5B,88
train_5200,7200,1,0,5,939,3,1145,2008,170315.335619952,8B,5B,88
train_5583,8530,1,1,6,1257,1,1125,2008,152346.075820909,8B,5B,88
train_6372,11700,1,0,7,847,3,1337,2008,194970.834279093,8B,5B,88
train_7613,14450,1,1,6,1122,4,958,2009,167530.769268254,8B,5B,89
train_8124,5500,2,0,8,882,3,1452,2008,199633.397322303,8B,5B,88
train_682,7750,2,0,6,644,4,2320,2008,244741.143845623,8B,5B,86
train_2656,25095,2,0,4,907,2,1262,2007,199563.91140494,8B,5B,85
train_8311,7879,1,1,5,1050,3,1340,2008,176919.278923156,8B,5B,86
train_9563,10175,2,0,5,1030,2,1477,2008,177414.370995339,8B,5B,86
train_2248,8750,2,0,6,870,3,1235,2007,176701.379477979,8B,5B,84
train_2404,3196,2,0,6,684,2,1752,2008,185639.659728257,8B,5B,85
train_2809,8978,1,1,6,1763,3,1689,2010,241638.1722451,8B,5B,87
train_8047,11645,2,0,7,1202,3,2630,2008,261657.532378675,8B,5B,85
train_5174,4058,2,1,11,712,4,1557,2009,162694.341699349,8B,5B,85
train_5645,4426,1,1,11,925,3,1144,2009,162350.874945062,8B,5B,85
train_6539,13568,2,1,6,817,2,1935,2007,260489.305790516,8B,5B,83
train_1584,9505,1,1,5,832,3,1336,2006,170528.760071719,8B,5B,81
train_3046,8450,1,0,6,1477,3,2353,2010,220514.906444863,8B,5B,85
train_8297,8125,2,0,5,912,0,860,2010,147193.485626343,8B,5B,85
train_4807,7200,0,0,6,1868,4,1710,2010,221993.430595548,8B,5B,84
train_6962,13693,1,0,8,880,2,2062,2008,252264.635564969,8B,5B,82
train_7905,12342,2,1,8,804,3,2113,2008,240550.80648636,8B,5B,82
train_2373,15578,2,0,8,689,3,2392,2009,260211.238475805,8B,5B,82
train_6400,6204,2,0,9,855,2,1306,2010,165063.438333647,8B,5B,83
train_127,12822,2,0,9,1021,4,1718,2009,182050.196060749,8B,5B,81
train_5341,9142,2,1,8,672,3,1768,2009,161094.764714742,8B,5B,81
train_9834,8200,1,1,8,720,3,1710,2006,167886.570572859,8B,5B,78
train_294,8520,2,0,7,1337,2,1419,2006,237649.371100335,8B,5B,76
train_561,7200,2,0,5,637,3,1432,2007,181804.941984551,8B,5B,77
train_3350,12640,1,1,7,776,4,1375,2008,195759.021560394,8B,5B,77
train_5696,9600,1,1,4,864,3,1829,2009,157112.678590417,8B,5B,78
train_2594,9600,2,0,7,1214,4,1886,2008,200190.094726267,8B,5B,76
train_2028,7795,2,0,7,1092,2,2183,2008,221447.704707666,8B,5B,74
train_8009,10896,2,0,4,1196,3,1294,2008,160513.97562713,8B,5B,74
train_9242,7060,1,1,8,1584,2,1768,2007,230254.349685492,8B,5B,73
train_461,1890,1,1,6,2217,6,1414,2009,212386.907598213,8B,5B,74
train_405,9591,1,0,4,0,2,1232,2006,150754.32399952,8B,5B,70
train_612,9464,1,0,7,1237,4,816,2010,191551.680270558,8B,5B,74
train_3178,5720,1,1,5,963,3,1316,2009,154632.305456337,8B,5B,73
train_3831,2544,1,0,5,1386,3,1236,2009,195682.766392085,8B,5B,73
train_4350,7200,2,0,7,641,4,1484,2010,144503.118039963,8B,5B,74
train_9334,19900,2,0,7,2223,4,904,2008,232228.753973463,8B,5B,72
train_9762,9600,2,1,5,1604,6,910,2010,190158.113863284,8B,5B,74
train_9837,10880,1,1,7,880,3,2198,2008,247801.29235285,8B,5B,72
train_2050,10125,1,0,5,0,3,1652,2009,185689.491953796,8B,5B,72
train_4799,8737,1,0,6,616,2,1688,2006,171230.083092676,8B,5B,69
train_6018,3180,2,1,6,1165,2,2230,2009,231575.528302772,8B,5B,70
train_970,14230,1,0,6,1153,2,1441,2007,210298.731007663,8B,5B,67
train_1455,25286,2,0,8,1196,3,848,2006,181874.65520008,8B,5B,66
train_2192,14559,2,0,6,983,2,2157,2009,237331.652573841,8B,5B,69
train_2297,8400,1,1,5,1188,3,970,2009,145817.65229972,8B,5B,69
train_2649,8120,2,0,8,700,3,1646,2007,165014.197903194,8B,5B,67
train_3241,11198,2,0,5,483,3,1456,2007,192082.74768349,8B,5B,67
train_5374,8000,1,1,5,1392,3,605,2007,168407.595422651,8B,5B,67
train_6309,9600,2,0,8,462,4,2036,2008,208594.0484494,8B,5B,68
train_6619,13688,1,0,7,1136,4,2291,2008,253108.094935477,8B,5B,68
train_7112,10141,1,1,5,1722,2,720,2006,279069.445267969,8B,5B,66
train_9091,3182,1,1,6,813,3,1593,2008,169305.529978758,8B,5B,68
train_9737,5586,2,0,8,938,2,2646,2007,247670.965907138,8B,5B,67
train_882,10020,1,1,8,2077,3,2000,2010,239103.015616879,8B,5B,69
train_5760,16905,2,1,6,440,3,2002,2009,199734.365740499,8B,5B,68
train_6195,13125,1,1,10,686,2,1068,2010,202006.733520244,8B,5B,69
train_7856,9101,2,0,7,747,2,1768,2009,184404.261701412,8B,5B,67
train_552,5232,1,1,7,1694,2,1428,2009,248209.178127025,8B,5B,64
train_3980,8197,2,0,6,807,2,1844,2009,178109.469598139,8B,5B,64
train_8373,2522,1,1,6,794,2,1501,2006,189315.367267606,8B,5B,61
train_2764,10240,1,0,6,954,2,1929,2007,236623.570538708,8B,5B,60
train_5241,9600,2,0,14,993,2,1973,2006,255569.968964413,8B,5B,59
train_2857,2544,1,1,8,702,2,1217,2010,135071.807736796,8B,5B,62
train_5356,10800,1,0,5,1266,3,1097,2006,156377.142101025,8B,5B,58
train_6315,12400,1,0,6,483,3,1469,2010,158736.41631146,8B,5B,62
train_6486,9000,2,1,6,912,3,1470,2008,196987.324129348,8B,5B,60
train_7242,7200,2,0,6,840,3,1638,2007,167810.950274384,8B,5B,59
train_8683,5400,2,0,7,1434,3,1768,2009,231591.539646048,8B,5B,61
train_9006,7227,2,0,7,658,4,980,2007,182398.552713745,8B,5B,59
train_9482,4712,1,0,5,1614,2,2414,2008,309967.142056297,8B,5B,60
train_3082,7244,2,0,7,1389,3,1110,2007,195972.655327912,8B,5B,58
train_5347,10480,2,2,7,1276,2,1533,2010,179953.249053438,8B,5B,61
train_6194,7945,1,0,6,832,1,1976,2007,251546.629209191,8B,5B,58
train_7754,7150,2,0,7,660,3,1501,2007,151574.735845834,8B,5B,58
train_251,9490,1,0,6,1024,3,1478,2008,200284.256004938,8B,5B,58
train_1887,2651,1,1,6,996,1,1742,2009,223030.698269972,8B,5B,59
train_3441,12400,2,1,7,864,2,1216,2009,199409.361582657,8B,5B,59
train_3857,13568,2,0,7,780,3,1734,2007,220115.419961936,8B,5B,57
train_4264,7207,2,0,6,1134,3,1716,2010,223106.432872899,8B,5B,60
train_5393,26178,2,0,5,923,2,1148,2006,217263.902361558,8B,5B,56
train_6678,7200,2,1,7,1337,4,1095,2009,203051.97093132,8B,5B,59
train_9521,9612,1,2,7,864,2,861,2006,144124.613537527,8B,5B,56
train_9931,11988,1,0,6,849,3,3279,2010,306156.799920838,8B,5B,60
train_340,16321,2,0,5,740,3,1920,2010,174484.349096663,8B,5B,59
train_8760,9588,2,1,5,866,4,778,2006,170282.278893381,8B,5B,54
train_9400,3378,1,1,6,684,3,1183,2006,117949.464864503,8B,5B,54
train_382,8462,2,0,8,979,3,928,2009,194501.140193604,8B,5B,56
train_1013,7244,3,0,6,1500,3,1196,2009,157597.119272179,8B,5B,56
train_1198,8125,2,0,6,1158,4,3222,2007,277130.629296537,8B,5B,54
train_3966,10800,1,0,7,1302,2,1230,2007,177947.714865864,8B,5B,54
train_4574,9000,1,0,7,832,2,1336,2008,166309.095006945,8B,5B,55
train_6382,8405,2,0,8,813,3,965,2006,174410.703961237,8B,5B,53
train_9828,14331,1,2,7,1314,3,1336,2008,228190.400291466,8B,5B,55
train_151,6000,2,0,6,864,4,1500,2009,193189.259062136,8B,5B,55
train_1439,13758,2,0,5,912,3,928,2009,213670.961171015,8B,5B,55
train_1940,11767,2,0,5,793,3,1968,2007,225599.059822578,8B,5B,53
train_2526,5604,1,1,6,1028,2,1710,2007,195583.466360226,8B,5B,53
train_2679,8450,1,0,9,920,3,1137,2007,159392.072808649,8B,5B,53
train_5095,8730,1,0,5,612,2,1719,2007,179382.201581224,8B,5B,53
train_5170,4400,2,0,5,1208,3,1968,2009,221107.526556428,8B,5B,55
train_5267,6155,1,0,7,1362,3,520,2009,191460.825433269,8B,5B,55
train_6370,9236,2,0,10,768,3,1855,2010,206207.666610228,8B,5B,56
train_6727,1680,2,0,8,480,4,1911,2007,154168.776461651,8B,5B,53
train_6973,5500,1,0,9,848,3,1818,2010,193518.723399821,8B,5B,56
train_7204,4928,2,1,4,860,3,1752,2006,180792.092387373,8B,5B,52
train_7661,7862,1,0,6,996,4,980,2007,154117.519255275,8B,5B,53
train_9555,11070,1,0,7,1026,2,2466,2008,270544.098520415,8B,5B,54
train_9784,10335,2,0,5,783,3,2358,2009,235193.990075937,8B,5B,55
train_283,10500,3,1,6,1368,4,1958,2007,240071.275300062,8B,5B,52
train_322,34650,2,0,6,1149,2,1342,2010,224063.916579312,8B,5B,55
train_510,8750,2,0,6,1304,1,1644,2008,216035.091934428,8B,5B,53
train_1903,11250,2,1,6,105,2,1337,2008,161586.060322864,8B,5B,53
train_6085,9120,1,0,7,1004,4,1732,2006,191329.138603701,8B,5B,51
train_6577,10800,2,0,5,1518,3,860,2006,205153.443092972,8B,5B,51
train_1287,5586,2,0,5,1428,2,1680,2009,237619.067660369,8B,5B,53
train_5982,11767,1,0,7,1088,2,832,2007,200093.666324268,8B,5B,51
train_6525,7750,1,0,7,816,4,1136,2006,138839.953323024,8B,5B,50
train_212,5825,1,0,8,1800,3,1065,2008,201541.650380582,8B,5B,51
train_369,5925,2,1,6,859,1,1349,2009,175455.99031151,8B,5B,52
train_3493,14226,1,0,4,1007,3,864,2010,160228.274839392,8B,5B,53
train_4229,9098,2,1,8,806,3,1452,2008,200115.371128057,8B,5B,51
train_4765,10421,0,0,7,1058,3,1894,2009,179715.72107758,8B,5B,52
train_5299,11096,1,1,7,1152,4,616,2010,178647.174388141,8B,5B,53
train_7189,2001,1,1,7,1302,2,882,2006,186975.22740616,8B,5B,49
train_8577,12886,2,1,8,1244,4,1732,2006,225725.690511181,8B,5B,49
train_8653,15602,2,0,9,1742,3,1306,2006,246453.744084198,8B,5B,49
train_9278,10237,1,0,6,1686,4,1234,2010,204472.369064135,8B,5B,53
train_9303,12803,1,0,6,1095,3,912,2010,151727.076060842,8B,5B,53
train_9465,10395,2,0,5,755,2,1060,2007,204873.421796209,8B,5B,50
train_388,10625,2,0,5,686,4,1034,2007,166105.624826119,8B,5B,49
train_1385,9600,2,1,6,1272,3,1004,2006,164672.267125871,8B,5B,48
train_1730,8120,1,0,6,1267,3,1144,2010,196010.129090386,8B,5B,52
train_3074,9800,2,0,6,963,3,1576,2010,191405.205319963,8B,5B,52
train_3154,9100,1,1,6,864,4,2287,2008,238476.18660493,8B,5B,50
train_4109,13400,2,1,6,847,2,1640,2007,187370.315896776,8B,5B,49
train_6269,11767,1,0,5,1040,2,1069,2008,157950.371370054,8B,5B,50
train_7035,8461,2,1,6,528,3,1456,2007,161397.438856461,8B,5B,49
train_7036,10421,2,1,6,864,3,1486,2006,177981.251668663,8B,5B,48
train_7872,5684,1,0,7,884,3,1935,2007,208991.316267847,8B,5B,49
train_8347,11443,0,0,8,1143,3,1053,2007,192151.236970412,8B,5B,49
train_9573,8414,1,0,8,2444,2,1510,2007,213739.521290955,8B,5B,49
train_36,11616,2,0,7,928,3,1092,2007,179177.101876624,8B,5B,48
train_1717,13500,2,0,5,1208,3,1588,2006,170944.238437924,8B,5B,47
train_5481,6000,2,1,5,1379,2,1159,2006,151207.321282907,8B,5B,47
train_6453,15576,1,0,7,617,3,1004,2009,202772.293403573,8B,5B,50
train_7563,11394,1,0,7,860,4,1478,2009,191139.896576905,8B,5B,50
train_7733,8520,1,0,5,0,3,1971,2006,255390.532529879,8B,5B,47
train_7890,7200,1,0,6,795,3,854,2006,135427.465458591,8B,5B,47
train_8605,8536,2,1,9,894,6,912,2008,153995.558562293,8B,5B,49
train_8607,5400,1,2,5,938,3,520,2009,144127.64006904,8B,5B,50
train_4425,8176,2,0,8,912,4,2198,2007,232952.743447197,8B,5B,47
train_5447,8973,2,1,6,1498,3,1136,2010,194915.821076818,8B,5B,50
train_6118,12203,1,1,6,636,3,1839,2010,173076.290699059,8B,5B,50
train_8664,9000,1,1,10,1362,3,1750,2007,216906.046643105,8B,5B,47
train_9121,1936,2,0,7,1763,3,1682,2006,244480.017705295,8B,5B,46
train_9961,12702,2,0,8,1150,1,1656,2009,218297.202879206,8B,5B,49
train_1483,9150,2,1,6,2042,2,904,2009,229166.490874629,8B,5B,48
train_2327,5310,2,0,5,832,2,1224,2009,174379.966921585,8B,5B,48
train_2349,14859,1,1,5,630,2,796,2008,142563.311892868,8B,5B,47
train_2889,9375,2,0,5,900,3,864,2010,175060.836575635,8B,5B,49
train_3012,7420,1,0,9,1269,3,1536,2007,186049.951321838,8B,5B,46
train_3797,10420,1,0,8,1947,4,1375,2010,182346.670119437,8B,5B,49
train_5300,3982,2,1,7,528,4,1494,2009,189613.913536538,8B,5B,48
train_5888,7677,2,1,8,907,3,1328,2007,198306.951323854,8B,5B,46
train_6310,9416,1,0,5,1194,3,1567,2009,236613.085905472,8B,5B,48
train_6706,11924,2,1,6,832,3,2332,2007,228946.070914207,8B,5B,46
train_8320,12182,2,0,5,1150,3,2704,2008,322385.709618705,8B,5B,47
train_8886,2592,2,1,4,1258,3,2704,2008,278693.545851055,8B,5B,47
train_9051,8765,2,0,7,1629,3,2094,2010,263934.655016107,8B,5B,49
train_418,13000,1,1,6,649,3,1419,2007,184620.160036905,8B,5B,45
train_885,11287,2,0,8,768,3,918,2009,149339.596392656,8B,5B,47
train_2666,8480,1,1,7,855,3,1440,2009,202083.54944337,8B,5B,47
train_5885,9525,1,0,7,712,3,884,2007,138055.413782518,8B,5B,45
train_1712,7314,1,0,4,1150,3,948,2009,164481.488343982,8B,5B,46
train_1976,7200,1,0,6,715,4,1269,2008,161640.336624713,8B,5B,45
train_3009,8012,2,1,4,1396,4,1709,2010,224847.108722171,8B,5B,47
train_5334,10659,2,0,11,1833,4,1040,2008,250139.922508805,8B,5B,45
train_462,13860,3,0,10,1297,4,1720,2009,242096.800434914,8B,5B,45
train_1169,5000,2,0,6,1194,3,882,2008,210125.645697962,8B,5B,44
train_2888,8176,2,1,8,1125,3,1682,2006,217310.764094168,8B,5B,42
train_2986,10800,2,0,6,600,3,1416,2010,126438.074017861,8B,5B,46
train_3242,10800,2,0,7,1614,3,848,2007,199149.62762072,8B,5B,43
train_4032,13891,1,0,6,0,3,1617,2009,153643.235936586,8B,5B,45
train_5110,9600,2,0,7,676,3,1056,2009,155534.248117492,8B,5B,45
train_5949,9100,1,1,9,1541,2,894,2006,233077.362617051,8B,5B,42
train_8807,11394,2,0,6,999,3,630,2007,144710.631814431,8B,5B,43
train_8843,6240,2,1,5,864,2,1287,2006,198283.957155782,8B,5B,42
train_207,14762,1,0,7,864,1,1216,2009,202422.409061828,8B,5B,44
train_755,13000,2,1,6,600,3,894,2007,159587.949384803,8B,5B,42
train_1174,8400,1,1,10,0,3,2468,2006,241194.314682687,8B,5B,41
train_1771,6120,2,0,6,1053,4,864,2007,142903.3937475,8B,5B,42
train_1899,15523,2,1,6,1056,1,882,2008,177592.21353254,8B,5B,43
train_4610,11143,2,0,8,728,1,1842,2007,193980.663372662,8B,5B,42
train_5172,9900,2,0,5,1391,3,924,2007,158269.329002836,8B,5B,42
train_5340,6155,1,0,6,784,1,2872,2007,247863.717828623,8B,5B,42
train_5692,7200,1,0,9,1324,4,1947,2008,246875.142263457,8B,5B,43
train_6369,10440,1,0,5,1580,4,1320,2009,156099.892803179,8B,5B,44
train_7170,9248,1,0,6,612,3,1164,2010,175476.276018928,8B,5B,45
train_9865,2544,1,0,7,1040,2,1728,2008,213577.862010074,8B,5B,43
train_593,11600,2,0,5,970,4,1336,2008,177300.470643194,8B,5B,42
train_3243,10041,2,1,4,616,4,1826,2006,177262.203429551,8B,5B,40
train_3380,9636,3,0,7,780,2,1826,2008,199450.089037308,8B,5B,42
train_3933,3675,1,0,4,910,2,864,2008,193811.02548771,8B,5B,42
train_5558,8640,2,0,4,0,1,1638,2008,189715.531317557,8B,5B,42
train_6093,4224,1,0,11,1056,4,1776,2007,196427.708810891,8B,5B,41
train_7648,9790,2,1,3,1092,4,1121,2010,166637.537835641,8B,5B,44
train_8039,7390,2,1,5,1719,2,1796,2007,252407.705898154,8B,5B,41
train_8250,15660,1,1,9,1563,4,2374,2007,286774.480670521,8B,5B,41
train_9764,4426,1,0,7,1144,2,1392,2007,196705.860569075,8B,5B,41
train_26,5063,2,0,5,1777,2,2098,2010,300367.283725118,8B,5B,43
train_2421,8472,2,0,8,876,2,1949,2006,213028.103623573,8B,5B,39
train_3249,5271,1,0,3,1145,2,2290,2010,255664.740377241,8B,5B,43
train_4663,9453,1,1,6,750,4,1416,2009,197057.019005884,8B,5B,42
train_1208,8125,2,0,8,1051,3,848,2009,146972.110628647,8B,5B,41
train_2711,12589,1,0,7,848,2,1181,2008,156911.886195274,8B,5B,40
train_4051,7892,1,1,4,808,3,1717,2008,210665.74157777,8B,5B,40
train_4643,11210,2,0,7,1470,4,894,2008,207163.740497215,8B,5B,40
train_5220,11616,1,0,7,536,2,1296,2010,149216.913608556,8B,5B,42
train_6935,6292,2,0,7,848,4,2035,2009,232523.130643875,8B,5B,41
train_7463,11333,1,0,7,1482,1,1348,2008,222609.779607884,8B,5B,40
